@relation densidad

@attribute ano NUMERIC
@attribute densidad NUMERIC

@data
2019,44
2018,44
2017,43
2016,43
2015,42
2014,42
2013,41
2012,41
2011,40
2010,40
2009,39
2008,39
2007,38
2006,38
2005,38
2004,37
2003,37
2002,36
2001,36
2000,35
1999,35
1998,34
1997,34
1996,33
1995,33
1994,32
1993,32
1992,31
1991,31
1990,30
1989,29
1988,29
1987,28
1986,28
1985,27
1984,27
1983,27
1982,26
1981,25
1980,25
1979,23
1978,23
1977,22
1976,22
1975,21
1974,21
1973,20
1972,20
1971,19
1970,19
1969,18
1968,18
1967,17
1966,17
1965,16
1964,16
1963,15
1962,15
1961,15
1960,14
